Quartiere,Numero,Percentuale
ACQUATE,18,4.48
BELLEDO,23,5.72
BONACINA,2,0.5
CALEOTTO,14,3.48
CASTELLO,30,7.46
CHIUSO,20,4.98
GERMANEDO,30,7.46
LAORCA,14,3.48
LECCO CENTRO,62,15.42
MAGGIANICO,32,7.96
OLATE,11,2.74
PESCARENICO,35,8.71
RANCIO,13,3.23
SAN GIOVANNI,22,5.47
SANTO STEFANO,76,18.91
