PLESSO,TIPOLOGIA,N. ISCRITTI,Percentuale
A. STOPPANI,Scuola sec. I grado ,346,33.05
C. BATTISTI,Scuola primaria ,219,20.92
CALEOTTO,Scuola infanzia ,36,3.44
G. OBERDAN,Scuola primaria ,188,17.96
LA NS. FAMIGLIA,Scuola primaria ,13,1.24
N. SAURO,Scuola primaria ,89,8.5
ROSA SPREAFICO,Scuola infanzia ,60,5.73
SILVIO PELLICO,Scuola primaria ,96,9.17
