Quartiere,Numero femmine,Percentuale femmine
ACQUATE,529,7.05
BELLEDO,417,5.56
BONACINA,156,2.08
CALEOTTO,218,2.91
CASTELLO,871,11.61
CHIUSO,252,3.36
GERMANEDO,750,10.0
LAORCA,213,2.84
LECCO CENTRO,1065,14.2
MAGGIANICO,513,6.84
OLATE,388,5.17
PESCARENICO,356,4.75
RANCIO,294,3.92
SAN GIOVANNI,555,7.4
SANTO STEFANO,923,12.31
