Quartiere,Numero maschi,Percentuale maschi
ACQUATE,431,7.75
BELLEDO,312,5.61
BONACINA,133,2.39
CALEOTTO,172,3.09
CASTELLO,634,11.4
CHIUSO,212,3.81
GERMANEDO,498,8.96
LAORCA,179,3.22
LECCO CENTRO,701,12.61
MAGGIANICO,404,7.26
OLATE,252,4.53
PESCARENICO,305,5.48
RANCIO,270,4.86
SAN GIOVANNI,429,7.71
SANTO STEFANO,629,11.31
