TIPOLOGIA,PLESSO,N. SEZIONI,N. ISCRITTI,Percentuale
Scuola sec. I grado, M. KOLBE,8,177,36.27
Scuola sec. I grado, COLLEGIO VOLTA,6,133,27.25
Scuola sec. I grado, MARIA AUSILIATRICE,8,178,36.48
