Quartiere,Numero femmine,Percentuale femmine
ACQUATE,1144,8.19
BELLEDO,798,5.71
BONACINA,336,2.41
CALEOTTO,585,4.19
CASTELLO,1553,11.12
CHIUSO,529,3.79
GERMANEDO,1126,8.06
LAORCA,421,3.01
LECCO CENTRO,1944,13.92
MAGGIANICO,893,6.39
OLATE,691,4.95
PESCARENICO,808,5.79
RANCIO,603,4.32
SAN GIOVANNI,1051,7.52
SANTO STEFANO,1485,10.63
