TIPOLOGIA,PLESSO,N. SEZIONI,N. ISCRITTI,Percentuale
Scuola primaria, PIETRO SCOLA,11,270,8.66
Scuola primaria, COLLEGIO VOLTA,10,228,2.99
Scuola primaria, MARIA AUSILIATRICE,10,172,2.39
