TIPOLOGIA,PLESSO,N. SEZIONI,N. ISCRITTI,Percentuale
Scuola sec. I grado ,A. NAVA,5,104,7.43
Scuola sec. I grado ,A. PONCHIELLI,3,70,5.0
Scuola sec. I grado ,T. GROSSI,9,217,15.5
Scuola sec. I grado ,DON G. TICOZZI,18,410,29.29
Scuola sec. I grado ,A. STOPPANI,16,346,24.71
