Quartiere,Numero,Percentuale
ACQUATE,943,7.33
BELLEDO,715,5.56
BONACINA,282,2.19
CALEOTTO,424,3.3
CASTELLO,1455,11.31
CHIUSO,449,3.49
GERMANEDO,1202,9.34
LAORCA,380,2.95
LECCO CENTRO,1727,13.43
MAGGIANICO,895,6.96
OLATE,650,5.05
PESCARENICO,640,4.98
RANCIO,556,4.32
SAN GIOVANNI,971,7.55
SANTO STEFANO,1566,12.17
