PLESSO,TIPOLOGIA,N. ISCRITTI,Percentuale
A. DIAZ,Scuola primaria ,145,18.1
AQUILONI,Scuola infanzia ,68,8.49
DON G. TICOZZI,Scuola sec. I grado ,410,51.19
G. CARDUCCI,Scuola primaria ,178,22.22
