Quartiere,Numero,Percentuale
ACQUATE,26,9.19
BELLEDO,9,3.18
BONACINA,5,1.77
CALEOTTO,9,3.18
CASTELLO,32,11.31
CHIUSO,13,4.59
GERMANEDO,28,9.89
LAORCA,9,3.18
LECCO CENTRO,42,14.84
MAGGIANICO,13,4.59
OLATE,10,3.53
PESCARENICO,16,5.65
RANCIO,11,3.89
SAN GIOVANNI,25,8.83
SANTO STEFANO,35,12.37
