Quartiere,Numero,Percentuale
ACQUATE,577,8.57
BELLEDO,371,5.51
BONACINA,153,2.27
CALEOTTO,373,5.54
CASTELLO,750,11.14
CHIUSO,280,4.16
GERMANEDO,576,8.56
LAORCA,199,2.96
LECCO CENTRO,861,12.79
MAGGIANICO,379,5.63
OLATE,336,4.99
PESCARENICO,392,5.82
RANCIO,295,4.38
SAN GIOVANNI,466,6.92
SANTO STEFANO,712,10.58
