Fasce,Numero,Percentuale fasce di età
Fascia 0-2 anni,148,16.99
Fascia 3-5 anni,150,17.22
Fascia 6-9 anni,206,23.65
Fascia 10-13 anni,187,21.47
Fascia 14-17 anni,180,20.67
