Quartiere,Numero,Percentuale
ACQUATE,148,3.4
BELLEDO,207,4.76
BONACINA,27,0.62
CALEOTTO,151,3.47
CASTELLO,423,9.72
CHIUSO,160,3.68
GERMANEDO,248,5.7
LAORCA,178,4.09
LECCO CENTRO,897,20.61
MAGGIANICO,286,6.57
OLATE,103,2.37
PESCARENICO,464,10.66
RANCIO,188,4.32
SAN GIOVANNI,265,6.09
SANTO STEFANO,608,13.97
