Quartiere,Numero,Percentuale
ACQUATE,2242,7.95
BELLEDO,1499,5.31
BONACINA,681,2.41
CALEOTTO,1211,4.29
CASTELLO,3145,11.15
CHIUSO,1021,3.62
GERMANEDO,2274,8.06
LAORCA,869,3.08
LECCO CENTRO,4002,14.19
MAGGIANICO,1794,6.36
OLATE,1381,4.9
PESCARENICO,1817,6.44
RANCIO,1230,4.36
SAN GIOVANNI,2036,7.22
SANTO STEFANO,2960,10.49
